"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.782425000E0,1.049237442E-3,-3.988026176E-3,5.247775000E-3
2.792413000E0,2.204320626E-3,-9.340238757E-3,-1.120981760E-3
2.802444000E0,-9.819876868E-4,8.766104467E-3,-6.595438346E-3
2.812454000E0,-5.320542958E-3,4.075386003E-2,-7.877750322E-3
2.822440000E0,-3.265547799E-3,6.424995512E-2,-5.833845586E-3
2.832473000E0,3.198772669E-3,5.147060752E-2,-7.823801599E-3
2.842483000E0,1.078159176E-2,3.654758632E-2,-1.406332199E-2
2.852467000E0,9.729309008E-3,4.933290929E-2,-1.841434091E-2
2.862502000E0,1.076996885E-2,6.853961200E-2,-2.063410170E-2
2.872512000E0,1.816503517E-2,8.566401154E-2,-1.741966605E-2
2.882492000E0,1.706252433E-2,1.037958339E-1,-1.859076880E-2
2.892532000E0,2.099453704E-3,1.058551818E-1,-1.771972701E-2
2.902542000E0,3.161787288E-3,8.880163729E-2,-1.334814820E-2
2.912550000E0,2.234569937E-2,6.865238398E-2,-5.520343781E-3
2.922530000E0,2.125293948E-2,5.362893268E-2,-1.234417665E-3
2.932540000E0,6.232444197E-3,5.890491977E-2,3.889770713E-3
2.942545000E0,5.054785870E-3,5.893272161E-2,1.349187642E-2
2.952560000E0,1.459614374E-2,5.899948627E-2,1.896946505E-2
2.962570000E0,4.806008935E-2,7.538691163E-3,-9.680054337E-2
2.972603000E0,1.128372643E-2,1.922940277E-2,-5.673198774E-2
2.982589000E0,-4.037323967E-2,5.214349553E-2,-2.871307172E-2
2.992599000E0,8.440905251E-3,4.716205224E-2,-2.886209113E-4
3.002629000E0,8.720682561E-2,3.378899023E-2,2.535415813E-2
3.012618000E0,9.578686208E-2,6.154588982E-2,1.571059227E-2
3.022628000E0,5.340664834E-2,9.854119271E-2,-2.240590006E-2
3.032625000E0,3.888823092E-2,8.020257950E-2,-5.668770149E-2
3.042648000E0,4.761068150E-2,5.566627160E-2,-6.713847816E-2
3.052658000E0,4.107421264E-2,5.993851647E-2,-5.655933544E-2
3.062682000E0,1.615122333E-2,8.658254147E-2,-3.030640818E-2
3.072668000E0,7.201181259E-3,9.199659526E-2,4.808703903E-3
3.082678000E0,2.065600455E-2,8.473734558E-2,4.454573244E-2
3.092678000E0,3.523860127E-2,8.691793680E-2,6.926254928E-2
3.102700000E0,2.871811762E-2,8.478741348E-2,7.987364382E-2
3.112710000E0,1.592355967E-2,9.217920154E-2,7.646879554E-2
3.122705000E0,1.616198197E-2,9.743672609E-2,5.401009694E-2
3.132731000E0,3.136090562E-2,8.784003556E-2,3.395250067E-2
3.142741000E0,4.006840661E-2,8.783204854E-2,1.911074296E-2
3.152730000E0,3.056630865E-2,9.414661676E-2,8.280039765E-3
3.162770000E0,1.793068089E-2,7.269879431E-2,-2.451563021E-3
3.172780000E0,7.485761773E-3,2.778618596E-2,-1.304561831E-2
3.182788000E0,-6.143470295E-3,-8.618609048E-3,-2.691726387E-2
3.192796000E0,-2.202256769E-2,-5.545855034E-3,-3.995529935E-2
3.202806000E0,-3.059063107E-2,1.894195192E-2,-4.338843003E-2
3.212813000E0,-5.101661198E-3,3.510902449E-2,-3.566353023E-2
3.222822000E0,3.427397460E-2,3.855462000E-2,-2.449503355E-2
3.232832000E0,4.269045591E-2,3.437194228E-2,-1.261461433E-2
3.242840000E0,2.763247676E-2,2.029900067E-2,-8.481315337E-3
3.252848000E0,1.273315493E-2,1.012383844E-3,-8.575591259E-3
3.262858000E0,-5.616978277E-3,8.443602361E-3,7.177239284E-3
3.272853000E0,-5.990332458E-3,3.628277779E-2,3.374036402E-2
3.282875000E0,2.264876850E-2,3.969109803E-2,5.011401325E-2
3.292885000E0,4.405587539E-2,2.805738710E-2,4.830716923E-2
3.302862000E0,4.530923814E-2,2.800724097E-2,3.229854628E-2
3.312902000E0,3.917121887E-2,3.748834506E-2,6.533918437E-3
3.322912000E0,2.980861068E-2,3.949396685E-2,-1.603104547E-2
3.332889000E0,2.464699373E-2,2.448584139E-2,-2.777624689E-2
3.342927000E0,1.602181420E-2,2.446720004E-2,-2.040754631E-2
3.352937000E0,1.799212210E-2,2.879599482E-2,-6.517917383E-3
3.362930000E0,2.538396791E-2,2.353026904E-2,2.144349972E-3
3.372954000E0,2.754592523E-2,3.206356615E-2,-2.143871970E-3
3.382964000E0,1.155765541E-2,5.969549716E-2,-1.103237830E-2
3.392972000E0,4.035546444E-3,7.441132516E-2,-1.868809946E-2
3.402980000E0,5.111567676E-3,7.121570408E-2,-1.865835674E-2
3.412990000E0,4.070539027E-3,5.094212294E-2,-1.643435098E-2
3.422999000E0,-4.351525102E-3,1.887218468E-2,-1.958486065E-2
3.432976000E0,-2.453096749E-5,-1.737678982E-2,-1.614215039E-2
3.442986000E0,-9.910010704E-5,-3.548069298E-2,-5.369663704E-3
3.453026000E0,-1.413785294E-2,-2.910574526E-2,7.240565028E-3
3.463003000E0,-2.385401167E-2,-1.952554099E-2,1.454718411E-2
3.473013000E0,-2.389395982E-2,-1.311531104E-2,1.665161364E-2
3.483051000E0,-2.495543472E-2,-9.922999889E-3,1.555380132E-2
3.493029000E0,-2.379326522E-2,-1.314444095E-2,8.104571141E-3
3.503039000E0,-1.839637011E-2,-1.739990711E-2,3.921011463E-3
3.513076000E0,-1.202412881E-2,-2.268639021E-2,8.298406377E-3
3.523056000E0,-9.973484091E-3,-3.455065424E-3,1.143080834E-2
3.533066000E0,-6.887679454E-3,2.432196960E-2,1.560584549E-2
3.543074000E0,4.787203390E-3,3.826762736E-2,1.889015920E-2
3.553082000E0,1.326677203E-2,2.427538112E-2,1.693463698E-2
