"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.320181250E0,-1.876228862E-2,1.241278127E-1,-1.141968891E-1
1.325143750E0,-1.228711754E-2,1.318596303E-1,-1.225744709E-1
1.330107813E0,-1.228711754E-2,1.318596303E-1,-1.225744709E-1
1.335070313E0,-9.983283468E-3,1.509360671E-1,-1.289449185E-1
1.340034375E0,-9.983283468E-3,1.509360671E-1,-1.289449185E-1
1.344996875E0,-1.623156248E-3,1.687035263E-1,-1.347743273E-1
1.349959375E0,-1.623156248E-3,1.687035263E-1,-1.347743273E-1
1.354923438E0,9.686577134E-3,1.757197529E-1,-1.444434524E-1
1.359885938E0,9.686577134E-3,1.757197529E-1,-1.444434524E-1
1.364850000E0,2.769837528E-2,1.638166010E-1,-1.548106968E-1
1.369812500E0,2.769837528E-2,1.638166010E-1,-1.548106968E-1
1.374776563E0,5.494296551E-2,1.268679798E-1,-1.673770696E-1
1.379739063E0,5.494296551E-2,1.268679798E-1,-1.673770696E-1
1.384701563E0,8.808676898E-2,7.377506793E-2,-1.805717647E-1
1.389665625E0,8.808676898E-2,7.377506793E-2,-1.805717647E-1
1.394628125E0,1.169196069E-1,2.200860158E-2,-1.915498823E-1
1.399592188E0,1.169196069E-1,2.200860158E-2,-1.915498823E-1
1.404554688E0,1.297477782E-1,1.001818944E-2,-1.914800704E-1
1.409518750E0,1.297477782E-1,1.001818944E-2,-1.914800704E-1
1.414481250E0,1.309695095E-1,-9.791296907E-3,-1.844638437E-1
1.419445313E0,1.309695095E-1,-9.791296907E-3,-1.844638437E-1
1.424407813E0,1.244943365E-1,-1.160643995E-2,-1.684068143E-1
1.429370313E0,1.244943365E-1,-1.160643995E-2,-1.684068143E-1
1.434334375E0,1.108109504E-1,1.919862255E-2,-1.456651837E-1
1.439296875E0,1.108109504E-1,1.919862255E-2,-1.456651837E-1
1.444260938E0,9.515535086E-2,4.122467712E-2,-1.246514171E-1
1.449223438E0,9.515535086E-2,4.122467712E-2,-1.246514171E-1
1.454185938E0,8.058185130E-2,5.335471407E-2,-1.071108580E-1
1.459150000E0,8.058185130E-2,5.335471407E-2,-1.071108580E-1
1.464112500E0,7.010987401E-2,6.473426521E-2,-9.464920312E-2
1.469076563E0,7.010987401E-2,6.473426521E-2,-9.464920312E-2
1.474039063E0,6.347762793E-2,5.279621109E-2,-7.847000659E-2
1.479003125E0,6.347762793E-2,5.279621109E-2,-7.847000659E-2
1.483965625E0,6.021386012E-2,2.919935808E-2,-5.710717291E-2
1.488928125E0,6.021386012E-2,2.919935808E-2,-5.710717291E-2
1.493892188E0,6.206390634E-2,-1.096066739E-2,-3.967133537E-2
1.498854688E0,6.206390634E-2,-1.096066739E-2,-3.967133537E-2
1.503818750E0,7.096508890E-2,-5.438445881E-2,-3.164282069E-2
1.508781250E0,7.096508890E-2,-5.438445881E-2,-3.164282069E-2
1.513745313E0,8.943066746E-2,-1.084722131E-1,-3.085742146E-2
1.518707813E0,8.943066746E-2,-1.084722131E-1,-3.085742146E-2
1.523670313E0,1.133591309E-1,-1.552644968E-1,-3.467969224E-2
1.528634375E0,1.133591309E-1,-1.552644968E-1,-3.467969224E-2
1.533596875E0,1.296779662E-1,-1.883210242E-1,-4.070107639E-2
1.538560938E0,1.296779662E-1,-1.883210242E-1,-4.070107639E-2
1.543523438E0,1.302364618E-1,-1.929636002E-1,-4.260348529E-2
1.548485938E0,1.302364618E-1,-1.929636002E-1,-4.260348529E-2
1.553450000E0,1.189441904E-1,-1.715658605E-1,-3.810053691E-2
1.558412500E0,1.189441904E-1,-1.715658605E-1,-3.810053691E-2
1.563376563E0,1.016305238E-1,-1.433089823E-1,-3.651228920E-2
1.568339063E0,1.016305238E-1,-1.433089823E-1,-3.651228920E-2
1.573303125E0,8.314748853E-2,-1.080184281E-1,-3.726277873E-2
1.578265625E0,8.314748853E-2,-1.080184281E-1,-3.726277873E-2
1.583228125E0,6.831218302E-2,-8.431685716E-2,-4.468042776E-2
1.588192188E0,6.831218302E-2,-8.431685716E-2,-4.468042776E-2
1.593154688E0,5.993460491E-2,-5.935864896E-2,-5.869542435E-2
1.598118750E0,5.993460491E-2,-5.935864896E-2,-5.869542435E-2
1.603081250E0,4.881685972E-2,-4.300491139E-2,-7.325147092E-2
1.608045313E0,4.881685972E-2,-4.300491139E-2,-7.325147092E-2
1.613007813E0,4.106759652E-2,-2.230530791E-2,-8.470083028E-2
1.617971875E0,4.106759652E-2,-2.230530791E-2,-8.470083028E-2
1.622934375E0,4.138175771E-2,-1.663298719E-2,-9.414306283E-2
1.627896875E0,4.138175771E-2,-1.663298719E-2,-9.414306283E-2
1.632860938E0,4.235913977E-2,-1.333431527E-2,-9.922196716E-2
1.637823438E0,4.235913977E-2,-1.333431527E-2,-9.922196716E-2
1.642787500E0,4.087560996E-2,-1.031489577E-2,-1.028173491E-1
1.647750000E0,4.087560996E-2,-1.031489577E-2,-1.028173491E-1
1.652714063E0,3.811798990E-2,-9.110618383E-3,-1.052608043E-1
1.657676563E0,3.811798990E-2,-9.110618383E-3,-1.052608043E-1
1.662639063E0,4.057890549E-2,-2.649409883E-2,-1.058542207E-1
1.667603125E0,4.057890549E-2,-2.649409883E-2,-1.058542207E-1
1.672565625E0,5.480333790E-2,-5.745624006E-2,-1.045975834E-1
1.677529688E0,5.480333790E-2,-5.745624006E-2,-1.045975834E-1
1.682492188E0,7.442083955E-2,-8.805186301E-2,-1.000422761E-1
1.687454688E0,7.442083955E-2,-8.805186301E-2,-1.000422761E-1
1.692418750E0,7.936012000E-2,-9.693558514E-2,-9.164723754E-2
1.697381250E0,7.936012000E-2,-9.693558514E-2,-9.164723754E-2
1.702345313E0,6.342526525E-2,-7.764969766E-2,-7.983136177E-2
1.707307813E0,6.342526525E-2,-7.764969766E-2,-7.983136177E-2
1.712271875E0,4.434881732E-2,-5.853834376E-2,-6.845181435E-2
1.717234375E0,4.434881732E-2,-5.853834376E-2,-6.845181435E-2
1.722196875E0,3.192207217E-2,-5.722934753E-2,-6.052801758E-2
1.727160938E0,3.192207217E-2,-5.722934753E-2,-6.052801758E-2
1.732123438E0,2.895501256E-2,-6.752678752E-2,-5.579817668E-2
1.737087500E0,2.895501256E-2,-6.752678752E-2,-5.579817668E-2
1.742050000E0,5.829399452E-3,-4.534365237E-2,-4.719370231E-2
1.747012500E0,5.829399452E-3,-4.534365237E-2,-4.719370231E-2
1.751976563E0,-3.286454827E-2,-6.440265104E-3,-3.722787276E-2
1.756939063E0,-3.286454827E-2,-6.440265104E-3,-3.722787276E-2
1.761901563E0,-7.110471278E-2,4.406956211E-2,-2.768092230E-2
1.766865625E0,-7.110471278E-2,4.406956211E-2,-2.768092230E-2
1.771828125E0,-8.799950033E-2,5.405284837E-2,-2.387610450E-2
1.776792188E0,-8.799950033E-2,5.405284837E-2,-2.387610450E-2
1.781754688E0,-8.777260780E-2,6.878342479E-2,-2.043780498E-2
1.786718750E0,-8.777260780E-2,6.878342479E-2,-2.043780498E-2
1.791681250E0,-8.241444826E-2,7.501424849E-2,-2.452187613E-2
1.796643750E0,-8.241444826E-2,7.501424849E-2,-2.452187613E-2
1.801607813E0,-7.667231560E-2,7.878416032E-2,-3.735004738E-2
