"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.402600000E0,-1.329633989E-3,-4.352050833E-3,4.290848039E-3
3.412610000E0,-6.689246278E-3,-5.439686589E-3,6.364651490E-3
3.422612375E0,-1.101115998E-2,-3.312570741E-3,1.057450101E-2
3.432591375E0,-1.098392159E-2,-4.387000110E-3,8.444610983E-3
3.442601375E0,-7.733000908E-3,-4.385137465E-3,4.212581553E-3
3.452636375E0,-9.819941595E-3,-4.411038011E-3,-8.720436017E-5
3.462619375E0,-7.675626315E-3,-3.336286405E-3,-1.134817372E-3
3.472629375E0,5.130579695E-3,2.051739953E-3,1.086042379E-3
3.482658375E0,5.092812702E-3,7.395008579E-3,3.194815014E-3
3.492637375E0,-8.842401206E-3,6.274029613E-3,8.364061825E-3
3.502647375E0,-2.268604562E-2,-3.406557953E-3,7.167237345E-3
3.512652375E0,-2.581917495E-2,-1.197506581E-2,2.897052560E-3
3.522679375E0,-2.368202060E-2,-1.303082425E-2,2.930454677E-3
3.532689375E0,-1.400249638E-2,-1.726764813E-2,-2.266970463E-3
3.542705375E0,-3.262553597E-3,-2.362921834E-2,-6.371304858E-3
3.552708375E0,3.130318364E-3,-1.825984009E-2,-6.317423657E-3
3.562718375E0,2.004066249E-3,-1.398200449E-2,-2.079535509E-3
3.572722375E0,-2.334973076E-3,-1.078414079E-2,3.188372357E-3
3.582707375E0,2.949684625E-3,-8.606898598E-3,7.517643739E-3
3.592717375E0,8.297313005E-3,-7.515537087E-3,6.512034219E-3
3.602720375E0,7.259555627E-3,-9.662538767E-3,4.376007244E-3
3.612746375E0,-1.180682098E-3,-2.040074393E-2,-2.086705063E-3
3.622756375E0,-8.583737537E-3,-2.472705022E-2,-7.501443848E-3
3.632774375E0,-1.383928955E-2,-2.156934142E-2,-1.298456080E-2
3.642765375E0,-1.064389572E-2,-2.794776298E-2,-1.077653747E-2
3.652775375E0,1.061762101E-3,-2.680793218E-2,-7.427878678E-3
3.662797375E0,1.805653237E-2,-1.176358387E-2,-3.015680006E-3
3.672781375E0,2.758159302E-2,-2.090450609E-3,2.399591496E-3
3.682791375E0,2.965315990E-2,8.603341877E-3,5.575983319E-3
3.692789375E0,2.426086739E-2,2.458614856E-2,6.493809633E-3
3.702801375E0,1.138501614E-2,3.093672544E-2,1.057164185E-2
3.712811375E0,1.346874423E-2,3.203010932E-2,1.486570574E-2
3.722844375E0,3.822551342E-3,3.199112788E-2,1.794862747E-2
3.732850375E0,-3.710998921E-3,3.197061643E-2,2.319452167E-2
3.742860375E0,-4.938699421E-4,2.132002823E-2,2.435769700E-2
3.752836375E0,-4.723612219E-3,2.448436990E-2,2.001845092E-2
3.762874375E0,-1.848203503E-2,1.904247329E-2,1.025477145E-2
3.772884375E0,-2.263833582E-2,7.255821954E-3,2.783986973E-3
3.782888375E0,-7.630662527E-3,1.983748283E-3,-1.271156128E-3
