"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.142085000E0,-4.029728472E-3,4.503808543E-2,-3.342046868E-3
2.152095000E0,-1.264292467E-2,4.501571134E-2,2.958459780E-3
2.162078000E0,-2.545022592E-2,3.854578361E-2,2.821977483E-3
2.172115000E0,-2.653952315E-2,3.108160011E-2,6.046149414E-3
2.182125000E0,-2.448409609E-2,2.471983992E-2,1.465082262E-2
2.192136000E0,-1.813332736E-2,2.157079801E-2,2.008687891E-2
2.202144000E0,-1.385974605E-2,5.597578362E-3,2.342533320E-2
2.212154000E0,-4.285900854E-3,-7.151012309E-3,2.558916993E-2
2.222136000E0,2.098762430E-3,-1.777382940E-2,2.999670245E-2
2.232172000E0,5.264255684E-3,-2.201022021E-2,3.432950377E-2
2.242182000E0,4.149503540E-3,-1.666868851E-2,3.749213368E-2
2.252195000E0,-5.465386901E-3,-8.185241371E-3,3.625754267E-2
2.262202000E0,-6.386653986E-3,-1.676459238E-2,2.560259402E-2
2.272212000E0,-5.220455583E-3,-1.785595715E-2,1.707595028E-2
2.282224000E0,-5.229268689E-3,-2.922934713E-3,1.486123353E-2
2.292232000E0,-4.165306687E-3,9.881373495E-3,1.267137006E-2
2.302242000E0,-1.968732337E-3,1.413870230E-2,6.268065888E-3
2.312222000E0,-9.417991154E-3,1.729451492E-2,4.015649669E-3
2.322261000E0,-1.890373230E-2,1.720725745E-2,-6.789181381E-3
2.332271000E0,-3.793254867E-2,8.517362177E-3,-2.194576524E-2
2.342251000E0,-6.338735670E-2,-9.795061313E-3,-3.286048397E-2
2.352290000E0,-7.931639254E-2,-2.803120948E-2,-3.617220744E-2
2.362300000E0,-7.729824632E-2,-3.864656761E-2,-2.327345498E-2
2.372281000E0,-7.097859681E-2,-5.028864369E-2,-1.372934505E-2
2.382298000E0,-5.196647719E-2,-5.012436584E-2,4.671777133E-3
2.392308000E0,-2.555058151E-2,-5.949549749E-2,3.176411614E-2
2.402340000E0,-4.317234736E-3,-7.000998408E-2,4.490443692E-2
2.412327000E0,-6.449967157E-3,-6.149134412E-2,4.269713908E-2
2.422337000E0,-9.615665302E-3,-5.725451931E-2,3.836231306E-2
2.432369000E0,-2.173411660E-3,-4.440929368E-2,3.838821128E-2
2.442355000E0,2.134717070E-3,-2.520408109E-2,3.086351044E-2
2.452365000E0,1.208203728E-3,-4.993886221E-3,1.365762483E-2
