"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
2.928264062E0,3.449999914E-2,4.334999919E-1,-3.139999881E-2
2.938190625E0,1.119999960E-2,4.702999890E-1,-5.920000002E-2
2.948117187E0,-1.175999939E-1,4.388999939E-1,-5.429999903E-2
2.958043750E0,-2.439999878E-1,4.339999855E-1,-8.240000159E-2
2.967970312E0,-1.810999960E-1,3.203999996E-1,-1.498000026E-1
2.977896875E0,-2.345999926E-1,2.762999833E-1,-1.679999977E-1
2.987821875E0,-1.283999979E-1,2.337999940E-1,-1.569999903E-1
2.997748437E0,-4.580000043E-2,2.311999947E-1,-1.433999985E-1
3.007675000E0,2.080000006E-2,1.598999947E-1,-2.260999978E-1
3.017601562E0,5.240000039E-2,1.094999984E-1,-1.639000028E-1
3.027528125E0,8.069999516E-2,1.381999999E-1,2.719999850E-2
3.037454687E0,1.149999946E-1,4.939999804E-2,4.219999909E-2
3.047381250E0,-4.349999875E-2,4.919999838E-2,1.420000009E-2
3.057307812E0,-4.539999738E-2,1.277000010E-1,-5.629999936E-2
3.067232812E0,3.700000001E-3,9.999999747E-5,-1.565999985E-1
3.077159375E0,2.139999904E-2,8.819999546E-2,-6.859999895E-2
3.087085937E0,1.139999926E-2,1.177999973E-1,-1.999999949E-4
3.097012500E0,3.309999779E-2,1.668999940E-1,-6.729999930E-2
3.106939062E0,-3.159999847E-2,2.748000026E-1,8.540000021E-2
3.116865625E0,-6.539999694E-2,4.314999878E-1,3.339999914E-1
3.126790625E0,5.999999703E-4,5.699999928E-1,4.166999757E-1
3.136717187E0,1.605999917E-1,4.952999949E-1,5.087000132E-1
3.146643750E0,2.832999825E-1,5.029000044E-1,3.194999993E-1
3.156570312E0,3.041999936E-1,4.542999864E-1,2.021999955E-1
3.166496875E0,1.977999955E-1,4.043000042E-1,1.008999944E-1
3.176423437E0,8.590000123E-2,4.406999946E-1,3.869999945E-2
3.186350000E0,6.499999668E-3,3.443999887E-1,2.300000051E-3
3.196276562E0,-3.240000084E-2,2.856999934E-1,-1.349999942E-2
3.206201562E0,-9.789999574E-2,2.919999957E-1,-6.469999999E-2
3.216128125E0,-1.352999955E-1,3.950999975E-1,-7.629999518E-2
3.226054687E0,-1.668999940E-1,4.785999954E-1,-4.789999872E-2
3.235981250E0,-2.008999884E-1,4.644999802E-1,-3.199999779E-2
3.245907812E0,-2.100999951E-1,5.687999725E-1,1.599999960E-3
3.255834375E0,-1.469999999E-1,4.991999865E-1,5.099999905E-2
3.265759375E0,-7.369999588E-2,4.088999927E-1,-1.171999946E-1
3.275685937E0,-4.439999908E-2,3.375000060E-1,-1.862999946E-1
3.285612500E0,1.089999974E-1,3.238999844E-1,-2.264999896E-1
3.295539062E0,1.008000001E-1,3.312999904E-1,-4.619999975E-2
